Stock,Real Price,Predicted Price,Error
AAPL,211.8,224.38,12.58
TSLA,226.74,235.72,8.98
GOOGL,159.23,166.78,7.55
AMZN,191.55,206.78,15.23
MSFT,381.28,407.02,25.74
NVDA,117.4,131.01,13.61
META,578.09,590.15,12.06
NFLX,928.51,913.53,14.98
AMD,104.59,109.92,5.33
IBM,245.4,258.98,13.58
INTC,26.0,33.41,7.41
ORCL,150.4,160.72,10.32
CSCO,60.2,62.42,2.22
PYPL,68.84,75.65,6.81
QCOM,157.83,164.71,6.88
TXN,178.73,186.05,7.32
ADBE,388.49,402.76,14.27
AVGO,188.82,196.04,7.22
CRM,276.92,263.79,13.13
BA,159.84,172.66,12.82
NKE,72.79,81.12,8.33
MCD,302.56,316.61,14.05
V,333.02,348.68,15.66
MA,527.58,549.04,21.46
DIS,98.53,98.52,0.01
JPM,233.98,228.86,5.12
GS,547.95,568.94,20.99
MS,117.94,117.77,0.17
BAC,41.44,57.64,16.2
C,70.0,73.92,3.92
WMT,85.77,93.37,7.6
HD,348.53,378.29,29.76
LOW,222.73,233.89,11.16
TGT,104.69,114.82,10.13
COST,899.51,859.51,40.0
XOM,112.87,120.19,7.32
CVX,159.19,163.31,4.12
PEP,149.32,150.27,0.95
KO,69.64,71.36,1.72
ABBV,212.42,225.81,13.39
JNJ,163.68,161.2,2.48
PFE,26.17,29.76,3.59
UNH,501.99,519.65,17.66
TMO,516.33,533.01,16.68
LIN,458.73,475.23,16.5
DHR,211.6,224.33,12.73
BMY,59.92,68.58,8.66
RTX,132.68,147.94,15.26
LMT,467.42,483.81,16.39
